Your daily social media interaction2,"Rate your programming skills (Fluency with languages: C/C++/Python/Java etc. )
(Only for CSE, IT, BCA and MCA students)",Rate your physical activity (Dedicated workout session/sports),Your class attendance,Rate your attention during lectures,"How often do you take references from Google, YouTube, library or any other platform to clear your concepts?",Your daily study duration,Study duration during end-sem exams,How often do you clear doubts/topics of your classmates during group study?,Your SGPA 1,Your SGPA 2,Your SGPA 3,Your SGPA 4,,,
1,6,8,85% - 95%,8,8,2,2,8,1,1,1,1,,,
0,9,2,65% - 75%,1,8,0,2,8,1,1,1,1,,,
0,8,7,75% - 85%,7,7,1,2,7,1,1,1,1,,,
1,6,6,75% - 85%,7,8,1,0,5,2,2,2,2,,,
0,4,9,75% - 85%,6,8,1,1,5,0,0,0,0,,0 to 6.5,0
0,6,9,75% - 85%,7,9,1,3,6,0,1,1,1,,6.5 to 8.5,1
1,9,10,85% - 95%,7,10,2,0,7,1,0,1,2,,8.5 to 9.9,2
2,6,8,75% - 85%,8,6,1,3,6,0,0,0,0,,,
1,9,6,85% - 95%,6,10,2,2,8,1,1,1,1,,,
2,6,9,85% - 95%,7,8,1,2,8,1,2,1,1,,,
1,5,5,75% - 85%,9,9,2,3,7,1,1,1,1,,,
1,7,8,85% - 95%,6,10,3,2,5,1,1,1,1,,,
2,5,6,85% - 95%,8,10,2,1,6,0,1,0,0,,,
1,7,9,85% - 95%,8,10,3,1,8,1,1,1,1,,,
0,3,6,65% - 75%,6,6,1,0,6,0,1,0,0,,,
2,10,7,85% - 95%,7,7,3,3,10,0,1,1,1,,,
1,6,3,55% - 65%,4,9,2,3,3,1,1,0,1,,,
1,5,10,75% - 85%,7,7,2,2,7,0,0,0,0,,,
0,6,7,75% - 85%,7,8,1,1,5,0,0,0,0,,,
1,7,10,85% - 95%,8,10,1,2,9,1,1,1,1,,,
1,10,8,85% - 95%,8,10,1,2,7,0,0,0,0,,,
0,5,5,85% - 95%,8,5,2,3,4,1,1,1,1,,,
1,5,5,85% - 95%,7,8,2,1,4,1,1,0,1,,,
1,6,8,65% - 75%,8,8,1,3,8,0,1,1,1,,,
0,3,10,85% - 95%,10,10,0,3,3,1,1,1,1,,,
0,5,4,85% - 95%,6,7,1,2,4,1,1,1,1,,,
1,4,9,75% - 85%,9,8,1,1,8,0,1,0,1,,,
1,7,7,85% - 95%,8,7,1,2,9,1,2,1,1,,,
2,6,4,85% - 95%,8,7,2,2,1,1,1,0,1,,,
0,8,6,75% - 85%,8,8,1,2,7,2,2,2,2,,,
0,6,6,65% - 75%,6,9,2,1,5,1,1,0,0,,,
1,6,10,75% - 85%,7,10,2,1,5,0,0,0,0,,,
1,8,10,65% - 75%,3,1,0,0,1,0,1,1,1,,,
0,5,6,75% - 85%,5,5,0,1,10,1,0,0,0,,,
1,6,7,85% - 95%,4,9,2,2,7,1,1,1,1,,,
1,6,8,85% - 95%,7,10,3,1,5,0,0,0,0,,,
0,9,3,85% - 95%,8,10,3,2,8,1,1,1,1,,,
1,7,5,85% - 95%,8,8,3,2,8,1,2,1,1,,,
0,4,8,65% - 75%,7,6,2,1,7,0,0,0,0,,,
1,6,10,75% - 85%,8,8,2,0,8,0,0,0,0,,,
1,7,9,85% - 95%,8,9,3,1,8,1,1,1,1,,,
1,7,9,85% - 95%,9,9,1,1,9,0,1,1,1,,,
2,5,3,85% - 95%,8,9,3,1,5,0,0,1,1,,,
0,5,7,85% - 95%,7,9,1,2,8,1,1,1,1,,,
2,9,9,85% - 95%,9,10,2,2,9,1,1,1,1,,,
1,5,5,75% - 85%,7,9,1,2,5,1,2,1,2,,,
1,7,4,85% - 95%,6,8,1,0,5,0,0,0,0,,,
1,8,3,85% - 95%,8,5,2,1,6,1,1,1,1,,,
1,8,8,75% - 85%,6,10,1,2,8,1,1,1,1,,,
2,6,9,75% - 85%,7,9,2,1,6,0,1,1,1,,,
0,7,8,85% - 95%,6,10,1,2,8,1,1,1,1,,,
1,5,6,85% - 95%,7,8,1,2,9,2,2,2,2,,,
0,8,8,55% - 65%,6,8,0,0,7,1,0,0,1,,,
1,5,10,75% - 85%,7,8,1,2,7,0,0,0,0,,,
2,9,10,75% - 85%,10,10,1,2,7,0,0,0,0,,,
1,7,9,85% - 95%,8,7,2,1,8,2,1,1,2,,,
1,7,7,85% - 95%,9,8,2,0,8,0,0,1,1,,,
1,5,5,75% - 85%,7,7,1,1,6,1,1,1,1,,,
1,9,10,75% - 85%,8,10,3,3,8,1,1,1,1,,,
2,8,6,75% - 85%,7,10,2,1,8,1,1,0,1,,,
2,8,10,75% - 85%,8,8,1,0,8,0,0,0,0,,,
1,8,9,85% - 95%,7,10,1,1,6,2,2,1,1,,,
2,8,4,75% - 85%,6,9,1,1,7,1,1,1,1,,,
2,6,6,85% - 95%,10,7,1,1,7,1,2,1,1,,,
1,4,5,85% - 95%,7,7,1,1,6,0,0,0,0,,,
1,7,8,85% - 95%,8,8,1,0,8,1,1,1,1,,,
2,8,5,85% - 95%,8,10,2,2,10,1,2,2,2,,,
0,6,10,85% - 95%,9,6,3,1,7,2,2,1,2,,,
1,4,4,65% - 75%,6,8,1,1,6,1,1,1,1,,,
2,5,9,75% - 85%,7,10,1,3,10,1,1,1,1,,,
0,8,9,85% - 95%,7,10,1,2,1,2,2,2,2,,,
0,7,5,75% - 85%,6,7,2,1,5,1,1,1,1,,,
1,7,10,65% - 75%,7,8,1,0,6,1,1,1,1,,,
1,4,4,Below 55%,2,10,0,0,3,1,0,0,0,,,
1,5,7,85% - 95%,5,7,1,3,10,1,1,1,1,,,
0,8,9,85% - 95%,7,8,1,1,8,1,1,0,1,,,
1,7,6,85% - 95%,9,10,1,0,7,0,1,1,1,,,
0,3,7,55% - 65%,1,10,1,1,10,1,1,1,1,,,
1,5,8,65% - 75%,7,10,2,3,7,1,1,1,1,,,
1,6,4,65% - 75%,4,9,1,1,5,1,1,1,1,,,
1,8,5,85% - 95%,10,10,2,0,6,1,1,1,1,,,
2,6,3,65% - 75%,4,6,1,2,4,1,1,1,1,,,
2,9,1,75% - 85%,8,8,2,2,10,2,2,2,2,,,
0,7,10,85% - 95%,8,10,1,2,10,1,2,1,1,,,
0,7,7,65% - 75%,5,9,0,3,7,2,1,1,1,,,
0,6,6,65% - 75%,7,9,0,1,8,1,1,1,1,,,
2,8,9,75% - 85%,1,10,0,0,1,1,1,1,1,,,
2,7,7,85% - 95%,8,10,1,2,10,1,1,1,1,,,
0,6,10,75% - 85%,8,9,1,0,8,2,2,2,2,,,
1,4,6,75% - 85%,7,9,0,0,5,1,0,0,1,,,
0,7,7,85% - 95%,7,9,1,3,7,1,2,1,1,,,
2,8,8,65% - 75%,7,9,3,2,7,1,0,1,1,,,
0,8,4,75% - 85%,6,10,1,2,7,1,1,0,1,,,
1,8,10,65% - 75%,8,9,2,0,8,1,1,1,1,,,
